account_id,district_id,frequency,acc_creation_date,acc_age_at_loan
1,18,0,1995-03-24,0
2,1,0,1993-02-26,10
3,5,0,1997-07-07,0
4,12,0,1996-02-21,0
5,15,0,1997-05-30,0
6,51,0,1994-09-27,0
7,60,0,1996-11-24,0
8,57,0,1995-09-21,0
9,70,0,1993-01-27,0
10,54,0,1996-08-28,0
11,76,0,1995-10-10,0
12,21,0,1997-04-15,0
13,76,0,1997-08-17,0
14,47,0,1996-11-27,0
15,70,0,1993-10-02,0
16,12,0,1997-09-23,0
17,1,0,1997-01-08,0
18,43,1,1993-05-26,0
19,21,0,1995-04-07,12
20,74,0,1996-08-24,0
21,54,0,1997-12-06,0
22,1,0,1994-03-23,0
23,30,0,1993-05-22,0
24,74,0,1996-12-05,0
25,68,0,1996-07-28,16
26,52,0,1993-08-08,0
27,73,0,1993-09-26,0
29,7,0,1994-11-24,0
30,36,0,1995-03-04,0
31,68,0,1994-04-27,0
32,5,0,1995-08-28,0
33,22,0,1993-08-26,0
34,67,1,1993-09-17,0
35,75,0,1993-07-07,0
36,1,0,1993-07-01,0
37,20,0,1997-08-18,14
38,19,1,1997-08-08,8
39,36,0,1993-09-22,0
40,64,0,1993-10-25,0
41,72,0,1997-08-02,0
42,39,0,1996-08-16,0
43,36,0,1994-06-12,0
44,32,0,1993-05-10,0
45,64,0,1997-09-02,0
47,45,0,1993-08-08,0
48,21,0,1996-11-17,0
49,1,0,1997-04-06,0
50,1,0,1994-05-06,0
51,67,0,1996-05-11,0
52,16,0,1997-01-29,0
53,77,0,1995-06-07,0
54,4,0,1995-05-02,0
55,20,0,1996-02-19,0
56,50,0,1994-05-16,0
57,1,0,1995-05-21,0
58,29,0,1996-08-23,0
59,43,0,1994-03-27,0
61,70,0,1993-12-11,0
62,47,0,1993-03-28,0
63,22,0,1996-11-16,0
64,64,0,1997-03-11,0
65,36,0,1996-10-29,0
66,48,2,1993-12-03,0
67,16,0,1994-10-19,18
68,37,2,1994-12-20,0
69,64,0,1996-01-12,0
70,8,0,1995-02-18,0
71,1,0,1994-03-05,0
72,1,1,1996-06-20,0
73,72,0,1993-11-08,0
75,1,0,1995-08-13,0
76,52,0,1996-05-16,0
77,63,0,1996-11-19,0
78,74,0,1993-07-07,0
79,3,0,1996-11-29,0
80,43,0,1995-09-27,0
81,74,0,1996-07-18,0
82,26,0,1994-05-03,0
83,26,0,1993-04-16,0
84,44,2,1995-12-25,0
85,68,0,1997-03-23,0
86,54,0,1993-03-07,0
88,31,0,1996-07-03,0
89,68,0,1997-09-25,0
90,1,0,1994-07-13,0
91,17,0,1996-11-06,0
93,2,0,1996-06-12,0
95,1,0,1995-03-30,0
96,68,0,1993-02-18,0
97,74,0,1996-05-05,15
98,55,0,1997-05-02,0
99,1,0,1995-06-27,0
100,41,0,1993-12-28,0
101,35,0,1996-04-16,0
102,11,0,1993-10-16,0
103,44,0,1996-03-10,21
104,37,0,1993-04-15,0
105,21,0,1997-07-10,17
106,63,0,1994-11-27,0
107,64,0,1993-11-05,0
108,53,0,1995-03-10,0
109,53,0,1997-04-20,0
110,36,0,1996-07-17,13
112,6,0,1993-03-12,0
113,55,0,1996-07-22,0
114,60,0,1997-03-14,0
115,68,0,1993-03-19,0
116,8,0,1996-03-21,0
117,31,0,1993-09-05,0
118,68,0,1997-09-18,0
119,27,0,1993-05-25,0
120,65,1,1995-06-16,0
121,55,0,1997-10-11,0
122,31,0,1996-10-30,0
123,21,0,1993-03-13,0
124,55,0,1997-12-28,0
125,2,2,1996-09-07,0
126,5,0,1993-10-23,0
127,29,0,1994-02-02,0
128,2,0,1993-02-19,0
129,74,0,1997-10-01,0
130,54,0,1997-02-12,0
131,52,0,1995-06-13,0
132,40,2,1996-05-11,5
133,64,1,1997-10-11,0
134,34,0,1997-12-10,0
135,75,0,1993-06-15,0
136,74,0,1996-05-14,0
137,70,0,1996-07-19,0
138,22,0,1995-09-19,0
139,38,1,1997-05-15,0
140,24,0,1996-06-25,0
141,38,0,1996-03-06,0
142,51,0,1993-02-15,0
143,21,0,1996-11-27,0
144,10,1,1997-04-03,0
145,31,0,1996-01-03,0
146,4,0,1993-09-02,0
148,8,0,1993-06-21,0
149,43,0,1997-11-16,0
150,73,0,1995-03-16,0
151,76,0,1993-09-06,0
152,1,0,1996-04-12,0
153,77,0,1993-09-19,0
154,46,0,1994-06-21,0
155,58,0,1995-11-07,0
156,64,0,1997-10-22,0
157,11,0,1997-03-28,0
158,37,0,1995-03-15,0
159,70,0,1997-02-11,0
160,23,0,1993-09-04,0
161,28,0,1994-07-04,0
162,60,0,1993-08-25,0
163,30,0,1993-01-27,0
164,60,0,1996-09-13,0
165,25,0,1993-06-01,0
166,17,0,1996-08-20,0
167,29,1,1996-02-26,0
168,31,0,1993-04-27,0
169,4,0,1995-09-28,0
170,59,0,1996-07-02,0
171,46,0,1996-06-08,0
172,13,0,1993-08-30,0
173,66,0,1993-11-26,6
174,52,0,1996-09-04,0
176,71,1,1996-08-12,8
177,1,0,1997-09-26,0
178,59,0,1997-09-06,0
179,1,1,1997-09-22,0
180,55,1,1993-12-14,0
181,21,0,1996-06-11,0
182,47,0,1996-08-24,0
183,43,0,1993-12-12,0
184,77,0,1996-02-21,0
185,32,0,1997-07-04,0
186,1,1,1993-07-29,0
187,5,0,1993-03-28,0
188,54,0,1993-04-20,0
189,76,0,1997-04-16,0
190,74,0,1995-03-02,0
191,41,0,1997-03-17,0
192,55,0,1993-01-08,0
193,69,0,1996-12-22,0
194,44,0,1996-08-01,0
195,70,0,1997-02-27,0
196,4,0,1993-11-14,0
197,1,0,1993-02-25,0
198,70,0,1993-10-25,0
199,70,0,1996-10-26,0
200,17,0,1994-07-03,0
201,63,0,1994-11-02,0
204,67,0,1996-01-13,0
205,1,0,1997-10-08,0
206,61,0,1995-04-08,0
207,2,0,1993-07-25,0
208,54,0,1996-03-27,0
209,37,0,1996-11-24,0
210,48,0,1996-03-17,0
211,28,0,1997-07-19,0
212,27,1,1993-01-20,0
213,73,0,1995-08-29,0
214,22,0,1997-03-09,0
215,31,0,1997-11-25,0
216,38,0,1994-05-16,0
217,77,0,1995-01-20,0
218,68,0,1996-02-06,0
219,28,0,1995-09-06,0
220,72,0,1993-04-09,0
221,19,0,1996-10-30,0
222,37,0,1993-03-15,0
223,39,0,1995-06-13,0
224,15,0,1996-10-27,0
225,1,0,1993-07-28,0
226,70,0,1997-02-23,16
227,27,0,1995-03-28,0
228,5,0,1993-09-28,0
229,1,0,1997-06-07,0
230,1,0,1996-02-26,0
231,22,0,1995-04-03,0
232,45,0,1997-11-29,0
234,73,0,1993-07-15,0
235,41,0,1993-10-06,0
236,72,0,1996-03-16,0
237,50,0,1994-03-25,0
238,6,0,1993-08-15,0
239,69,1,1993-03-01,0
240,72,0,1997-04-28,0
241,15,0,1996-09-29,0
242,69,0,1996-08-29,0
243,55,1,1993-11-06,0
244,24,0,1993-02-08,0
245,65,0,1993-11-25,0
246,65,0,1997-12-20,0
248,1,0,1995-04-02,0
249,28,0,1996-12-03,0
250,56,0,1997-05-10,0
251,74,0,1996-04-06,0
252,19,0,1996-12-26,0
253,46,0,1995-12-05,0
255,68,0,1996-11-03,0
256,37,0,1995-05-14,0
257,11,0,1995-11-05,0
258,64,0,1997-07-09,0
259,2,0,1993-10-28,0
260,24,0,1995-10-14,0
261,54,0,1996-10-07,0
262,75,0,1996-01-27,0
263,64,1,1997-01-03,0
264,15,0,1996-02-09,0
265,19,0,1996-07-05,0
266,47,0,1994-05-11,0
267,38,0,1995-04-26,0
268,3,0,1996-05-29,0
269,3,0,1996-08-30,0
270,27,0,1995-01-23,0
271,1,0,1996-08-13,0
272,11,0,1996-10-23,0
273,24,2,1993-07-11,0
274,76,0,1993-08-20,0
275,29,0,1996-01-02,0
276,38,0,1997-12-08,11
277,32,2,1994-05-01,0
278,73,0,1996-04-08,0
279,39,0,1993-04-14,0
280,25,0,1993-01-23,0
281,1,0,1996-10-27,0
282,69,0,1997-05-12,0
283,44,0,1996-04-18,0
284,54,0,1997-07-18,0
285,17,0,1995-05-08,0
286,71,0,1996-03-27,0
287,16,0,1993-10-27,0
288,25,0,1995-03-18,0
