"disp_id","client_id","account_id"
1,1,1
2,2,2
4,4,3
6,6,4
7,7,5
8,8,6
9,9,7
10,10,8
12,12,9
13,13,10
14,14,11
15,15,12
17,17,13
19,19,14
20,20,15
21,21,16
22,22,17
24,24,18
25,25,19
26,26,20
27,27,21
28,28,22
29,29,23
30,30,24
31,31,25
32,32,26
33,33,27
36,36,29
38,38,30
39,39,31
40,40,32
41,41,33
42,42,34
43,43,35
44,44,36
45,45,37
46,46,38
47,47,39
48,48,40
49,49,41
50,50,42
51,51,43
52,52,44
53,53,45
55,55,47
56,56,48
58,58,49
59,59,50
60,60,51
61,61,52
62,62,53
63,63,54
64,64,55
65,65,56
66,66,57
67,67,58
68,68,59
70,70,61
72,72,62
73,73,63
75,75,64
76,76,65
77,77,66
78,78,67
79,79,68
80,80,69
81,81,70
83,83,71
85,85,72
87,87,73
89,89,75
90,90,76
91,91,77
92,92,78
93,93,79
94,94,80
96,96,81
97,97,82
98,98,83
100,100,84
101,101,85
102,102,86
105,105,88
106,106,89
107,107,90
108,108,91
110,110,93
112,112,95
114,114,96
116,116,97
118,118,98
120,120,99
121,121,100
122,122,101
123,123,102
124,124,103
125,125,104
127,127,105
128,128,106
129,129,107
130,130,108
131,131,109
132,132,110
134,134,112
136,136,113
137,137,114
138,138,115
139,139,116
141,141,117
142,142,118
143,143,119
144,144,120
145,145,121
146,146,122
147,147,123
149,149,124
150,150,125
151,151,126
152,152,127
153,153,128
154,154,129
156,156,130
157,157,131
158,158,132
160,160,133
161,161,134
162,162,135
163,163,136
164,164,137
165,165,138
167,167,139
168,168,140
169,169,141
171,171,142
173,173,143
174,174,144
175,175,145
176,176,146
178,178,148
179,179,149
180,180,150
181,181,151
183,183,152
185,185,153
186,186,154
187,187,155
188,188,156
189,189,157
190,190,158
192,192,159
193,193,160
194,194,161
195,195,162
197,197,163
198,198,164
199,199,165
201,201,166
202,202,167
203,203,168
205,205,169
206,206,170
207,207,171
208,208,172
210,210,173
212,212,174
215,215,176
216,216,177
217,217,178
218,218,179
219,219,180
221,221,181
222,222,182
223,223,183
224,224,184
225,225,185
226,226,186
227,227,187
228,228,188
229,229,189
230,230,190
231,231,191
232,232,192
233,233,193
235,235,194
236,236,195
238,238,196
239,239,197
240,240,198
241,241,199
242,242,200
243,243,201
246,246,204
247,247,205
248,248,206
250,250,207
251,251,208
252,252,209
253,253,210
254,254,211
255,255,212
256,256,213
257,257,214
259,259,215
261,261,216
262,262,217
263,263,218
264,264,219
265,265,220
266,266,221
267,267,222
268,268,223
269,269,224
270,270,225
272,272,226
273,273,227
274,274,228
275,275,229
276,276,230
278,278,231
280,280,232
282,282,234
284,284,235
285,285,236
287,287,237
288,288,238
289,289,239
290,290,240
292,292,241
293,293,242
294,294,243
295,295,244
296,296,245
297,297,246
300,300,248
301,301,249
302,302,250
303,303,251
304,304,252
305,305,253
308,308,255
309,309,256
310,310,257
311,311,258
312,312,259
313,313,260
315,315,261
316,316,262
317,317,263
318,318,264
319,319,265
321,321,266
322,322,267
324,324,268
325,325,269
326,326,270
328,328,271
329,329,272
330,330,273
331,331,274
332,332,275
333,333,276
334,334,277
335,335,278
336,336,279
338,338,280
339,339,281
341,341,282
343,343,283
344,344,284
345,345,285
347,347,286
349,349,287
350,350,288
351,351,289
352,352,290
353,353,291
354,354,292
356,356,293
358,358,294
359,359,295
360,360,296
361,361,297
362,362,298
364,364,299
365,365,300
367,367,301
369,369,302
370,370,303
371,371,304
372,372,305
373,373,306
374,374,307
375,375,308
376,376,309
378,378,311
380,380,312
381,381,313
383,383,314
385,385,315
386,386,316
387,387,317
388,388,318
389,389,319
390,390,320
391,391,321
392,392,322
394,394,323
396,396,324
397,397,325
398,398,326
399,399,327
400,400,328
402,402,329
403,403,330
405,405,331
406,406,332
407,407,333
408,408,334
409,409,335
410,410,336
411,411,337
413,413,338
414,414,339
416,416,340
418,418,341
419,419,342
420,420,343
421,421,344
422,422,345
423,423,346
424,424,347
425,425,348
426,426,349
428,428,350
429,429,351
430,430,352
431,431,353
432,432,354
433,433,355
434,434,356
435,435,357
436,436,358
437,437,359
438,438,360
439,439,361
440,440,362
441,441,363
442,442,364
444,444,365
445,445,366
447,447,367
448,448,368
450,450,370
451,451,371
452,452,372
453,453,373
454,454,374
455,455,375
456,456,376
457,457,377
458,458,378
459,459,379
461,461,381
462,462,382
463,463,383
464,464,384
465,465,385
466,466,386
468,468,387
469,469,388
470,470,389
471,471,390
472,472,391
473,473,392
474,474,393
476,476,395
478,478,396
479,479,397
481,481,398
483,483,399
484,484,400
485,485,401
486,486,402
487,487,403
489,489,404
490,490,405
491,491,406
492,492,407
493,493,408
494,494,409
495,495,410
496,496,411
497,497,412
499,499,413
500,500,414
501,501,415
502,502,416
503,503,417
504,504,418
505,505,419
506,506,420
507,507,421
508,508,422
509,509,423
510,510,424
511,511,425
512,512,426
513,513,427
515,515,428
517,517,429
518,518,430
519,519,431
520,520,432
521,521,433
522,522,434
523,523,435
524,524,436
526,526,437
528,528,438
