account_id,district_id,frequency,acc_creation_date,acc_creation_year,acc_creation_month,acc_creation_day
1,18,monthly issuance,1995-03-24,1995,3,24
2,1,monthly issuance,1993-02-26,1993,2,26
3,5,monthly issuance,1997-07-07,1997,7,7
4,12,monthly issuance,1996-02-21,1996,2,21
5,15,monthly issuance,1997-05-30,1997,5,30
6,51,monthly issuance,1994-09-27,1994,9,27
7,60,monthly issuance,1996-11-24,1996,11,24
8,57,monthly issuance,1995-09-21,1995,9,21
9,70,monthly issuance,1993-01-27,1993,1,27
10,54,monthly issuance,1996-08-28,1996,8,28
11,76,monthly issuance,1995-10-10,1995,10,10
12,21,monthly issuance,1997-04-15,1997,4,15
13,76,monthly issuance,1997-08-17,1997,8,17
14,47,monthly issuance,1996-11-27,1996,11,27
15,70,monthly issuance,1993-10-02,1993,10,2
16,12,monthly issuance,1997-09-23,1997,9,23
17,1,monthly issuance,1997-01-08,1997,1,8
18,43,weekly issuance,1993-05-26,1993,5,26
19,21,monthly issuance,1995-04-07,1995,4,7
20,74,monthly issuance,1996-08-24,1996,8,24
21,54,monthly issuance,1997-12-06,1997,12,6
22,1,monthly issuance,1994-03-23,1994,3,23
23,30,monthly issuance,1993-05-22,1993,5,22
24,74,monthly issuance,1996-12-05,1996,12,5
25,68,monthly issuance,1996-07-28,1996,7,28
26,52,monthly issuance,1993-08-08,1993,8,8
27,73,monthly issuance,1993-09-26,1993,9,26
29,7,monthly issuance,1994-11-24,1994,11,24
30,36,monthly issuance,1995-03-04,1995,3,4
31,68,monthly issuance,1994-04-27,1994,4,27
32,5,monthly issuance,1995-08-28,1995,8,28
33,22,monthly issuance,1993-08-26,1993,8,26
34,67,weekly issuance,1993-09-17,1993,9,17
35,75,monthly issuance,1993-07-07,1993,7,7
36,1,monthly issuance,1993-07-01,1993,7,1
37,20,monthly issuance,1997-08-18,1997,8,18
38,19,weekly issuance,1997-08-08,1997,8,8
39,36,monthly issuance,1993-09-22,1993,9,22
40,64,monthly issuance,1993-10-25,1993,10,25
41,72,monthly issuance,1997-08-02,1997,8,2
42,39,monthly issuance,1996-08-16,1996,8,16
43,36,monthly issuance,1994-06-12,1994,6,12
44,32,monthly issuance,1993-05-10,1993,5,10
45,64,monthly issuance,1997-09-02,1997,9,2
47,45,monthly issuance,1993-08-08,1993,8,8
48,21,monthly issuance,1996-11-17,1996,11,17
49,1,monthly issuance,1997-04-06,1997,4,6
50,1,monthly issuance,1994-05-06,1994,5,6
51,67,monthly issuance,1996-05-11,1996,5,11
52,16,monthly issuance,1997-01-29,1997,1,29
53,77,monthly issuance,1995-06-07,1995,6,7
54,4,monthly issuance,1995-05-02,1995,5,2
55,20,monthly issuance,1996-02-19,1996,2,19
56,50,monthly issuance,1994-05-16,1994,5,16
57,1,monthly issuance,1995-05-21,1995,5,21
58,29,monthly issuance,1996-08-23,1996,8,23
59,43,monthly issuance,1994-03-27,1994,3,27
61,70,monthly issuance,1993-12-11,1993,12,11
62,47,monthly issuance,1993-03-28,1993,3,28
63,22,monthly issuance,1996-11-16,1996,11,16
64,64,monthly issuance,1997-03-11,1997,3,11
65,36,monthly issuance,1996-10-29,1996,10,29
66,48,issuance after transaction,1993-12-03,1993,12,3
67,16,monthly issuance,1994-10-19,1994,10,19
68,37,issuance after transaction,1994-12-20,1994,12,20
69,64,monthly issuance,1996-01-12,1996,1,12
70,8,monthly issuance,1995-02-18,1995,2,18
71,1,monthly issuance,1994-03-05,1994,3,5
72,1,weekly issuance,1996-06-20,1996,6,20
73,72,monthly issuance,1993-11-08,1993,11,8
75,1,monthly issuance,1995-08-13,1995,8,13
76,52,monthly issuance,1996-05-16,1996,5,16
77,63,monthly issuance,1996-11-19,1996,11,19
78,74,monthly issuance,1993-07-07,1993,7,7
79,3,monthly issuance,1996-11-29,1996,11,29
80,43,monthly issuance,1995-09-27,1995,9,27
81,74,monthly issuance,1996-07-18,1996,7,18
82,26,monthly issuance,1994-05-03,1994,5,3
83,26,monthly issuance,1993-04-16,1993,4,16
84,44,issuance after transaction,1995-12-25,1995,12,25
85,68,monthly issuance,1997-03-23,1997,3,23
86,54,monthly issuance,1993-03-07,1993,3,7
88,31,monthly issuance,1996-07-03,1996,7,3
89,68,monthly issuance,1997-09-25,1997,9,25
90,1,monthly issuance,1994-07-13,1994,7,13
91,17,monthly issuance,1996-11-06,1996,11,6
93,2,monthly issuance,1996-06-12,1996,6,12
95,1,monthly issuance,1995-03-30,1995,3,30
96,68,monthly issuance,1993-02-18,1993,2,18
97,74,monthly issuance,1996-05-05,1996,5,5
98,55,monthly issuance,1997-05-02,1997,5,2
99,1,monthly issuance,1995-06-27,1995,6,27
100,41,monthly issuance,1993-12-28,1993,12,28
101,35,monthly issuance,1996-04-16,1996,4,16
102,11,monthly issuance,1993-10-16,1993,10,16
103,44,monthly issuance,1996-03-10,1996,3,10
104,37,monthly issuance,1993-04-15,1993,4,15
105,21,monthly issuance,1997-07-10,1997,7,10
106,63,monthly issuance,1994-11-27,1994,11,27
107,64,monthly issuance,1993-11-05,1993,11,5
108,53,monthly issuance,1995-03-10,1995,3,10
109,53,monthly issuance,1997-04-20,1997,4,20
110,36,monthly issuance,1996-07-17,1996,7,17
112,6,monthly issuance,1993-03-12,1993,3,12
113,55,monthly issuance,1996-07-22,1996,7,22
114,60,monthly issuance,1997-03-14,1997,3,14
115,68,monthly issuance,1993-03-19,1993,3,19
116,8,monthly issuance,1996-03-21,1996,3,21
117,31,monthly issuance,1993-09-05,1993,9,5
118,68,monthly issuance,1997-09-18,1997,9,18
119,27,monthly issuance,1993-05-25,1993,5,25
120,65,weekly issuance,1995-06-16,1995,6,16
121,55,monthly issuance,1997-10-11,1997,10,11
122,31,monthly issuance,1996-10-30,1996,10,30
123,21,monthly issuance,1993-03-13,1993,3,13
124,55,monthly issuance,1997-12-28,1997,12,28
125,2,issuance after transaction,1996-09-07,1996,9,7
126,5,monthly issuance,1993-10-23,1993,10,23
127,29,monthly issuance,1994-02-02,1994,2,2
128,2,monthly issuance,1993-02-19,1993,2,19
129,74,monthly issuance,1997-10-01,1997,10,1
130,54,monthly issuance,1997-02-12,1997,2,12
131,52,monthly issuance,1995-06-13,1995,6,13
132,40,issuance after transaction,1996-05-11,1996,5,11
133,64,weekly issuance,1997-10-11,1997,10,11
134,34,monthly issuance,1997-12-10,1997,12,10
135,75,monthly issuance,1993-06-15,1993,6,15
136,74,monthly issuance,1996-05-14,1996,5,14
137,70,monthly issuance,1996-07-19,1996,7,19
138,22,monthly issuance,1995-09-19,1995,9,19
139,38,weekly issuance,1997-05-15,1997,5,15
140,24,monthly issuance,1996-06-25,1996,6,25
141,38,monthly issuance,1996-03-06,1996,3,6
142,51,monthly issuance,1993-02-15,1993,2,15
143,21,monthly issuance,1996-11-27,1996,11,27
144,10,weekly issuance,1997-04-03,1997,4,3
145,31,monthly issuance,1996-01-03,1996,1,3
146,4,monthly issuance,1993-09-02,1993,9,2
148,8,monthly issuance,1993-06-21,1993,6,21
149,43,monthly issuance,1997-11-16,1997,11,16
150,73,monthly issuance,1995-03-16,1995,3,16
151,76,monthly issuance,1993-09-06,1993,9,6
152,1,monthly issuance,1996-04-12,1996,4,12
153,77,monthly issuance,1993-09-19,1993,9,19
154,46,monthly issuance,1994-06-21,1994,6,21
155,58,monthly issuance,1995-11-07,1995,11,7
156,64,monthly issuance,1997-10-22,1997,10,22
157,11,monthly issuance,1997-03-28,1997,3,28
158,37,monthly issuance,1995-03-15,1995,3,15
159,70,monthly issuance,1997-02-11,1997,2,11
160,23,monthly issuance,1993-09-04,1993,9,4
161,28,monthly issuance,1994-07-04,1994,7,4
162,60,monthly issuance,1993-08-25,1993,8,25
163,30,monthly issuance,1993-01-27,1993,1,27
164,60,monthly issuance,1996-09-13,1996,9,13
165,25,monthly issuance,1993-06-01,1993,6,1
166,17,monthly issuance,1996-08-20,1996,8,20
167,29,weekly issuance,1996-02-26,1996,2,26
168,31,monthly issuance,1993-04-27,1993,4,27
169,4,monthly issuance,1995-09-28,1995,9,28
170,59,monthly issuance,1996-07-02,1996,7,2
171,46,monthly issuance,1996-06-08,1996,6,8
172,13,monthly issuance,1993-08-30,1993,8,30
173,66,monthly issuance,1993-11-26,1993,11,26
174,52,monthly issuance,1996-09-04,1996,9,4
176,71,weekly issuance,1996-08-12,1996,8,12
177,1,monthly issuance,1997-09-26,1997,9,26
178,59,monthly issuance,1997-09-06,1997,9,6
179,1,weekly issuance,1997-09-22,1997,9,22
180,55,weekly issuance,1993-12-14,1993,12,14
181,21,monthly issuance,1996-06-11,1996,6,11
182,47,monthly issuance,1996-08-24,1996,8,24
183,43,monthly issuance,1993-12-12,1993,12,12
184,77,monthly issuance,1996-02-21,1996,2,21
185,32,monthly issuance,1997-07-04,1997,7,4
186,1,weekly issuance,1993-07-29,1993,7,29
187,5,monthly issuance,1993-03-28,1993,3,28
188,54,monthly issuance,1993-04-20,1993,4,20
189,76,monthly issuance,1997-04-16,1997,4,16
190,74,monthly issuance,1995-03-02,1995,3,2
191,41,monthly issuance,1997-03-17,1997,3,17
192,55,monthly issuance,1993-01-08,1993,1,8
193,69,monthly issuance,1996-12-22,1996,12,22
194,44,monthly issuance,1996-08-01,1996,8,1
195,70,monthly issuance,1997-02-27,1997,2,27
196,4,monthly issuance,1993-11-14,1993,11,14
197,1,monthly issuance,1993-02-25,1993,2,25
198,70,monthly issuance,1993-10-25,1993,10,25
199,70,monthly issuance,1996-10-26,1996,10,26
200,17,monthly issuance,1994-07-03,1994,7,3
201,63,monthly issuance,1994-11-02,1994,11,2
204,67,monthly issuance,1996-01-13,1996,1,13
205,1,monthly issuance,1997-10-08,1997,10,8
206,61,monthly issuance,1995-04-08,1995,4,8
207,2,monthly issuance,1993-07-25,1993,7,25
208,54,monthly issuance,1996-03-27,1996,3,27
209,37,monthly issuance,1996-11-24,1996,11,24
210,48,monthly issuance,1996-03-17,1996,3,17
211,28,monthly issuance,1997-07-19,1997,7,19
212,27,weekly issuance,1993-01-20,1993,1,20
213,73,monthly issuance,1995-08-29,1995,8,29
214,22,monthly issuance,1997-03-09,1997,3,9
215,31,monthly issuance,1997-11-25,1997,11,25
216,38,monthly issuance,1994-05-16,1994,5,16
217,77,monthly issuance,1995-01-20,1995,1,20
