client_id,district_id,birthdate,birthdate_year,birthdate_month,birthdate_day,sex
1,18,1970-62-13,1970,12,13,f
2,1,1945-02-04,1945,2,4,m
3,1,1940-60-09,1940,10,9,f
4,5,1956-12-01,1956,12,1,m
5,5,1960-57-03,1960,7,3,f
6,12,1919-09-22,1919,9,22,m
7,15,1929-01-25,1929,1,25,m
8,51,1938-52-21,1938,2,21,f
9,60,1935-10-16,1935,10,16,m
10,57,1943-05-01,1943,5,1,m
11,57,1950-58-22,1950,8,22,f
12,40,1981-02-20,1981,2,20,m
13,54,1974-55-29,1974,5,29,f
14,76,1942-56-22,1942,6,22,f
15,21,1918-58-28,1918,8,28,f
16,21,1919-02-25,1919,2,25,m
17,76,1934-10-13,1934,10,13,m
18,76,1931-54-05,1931,4,5,f
19,47,1942-12-28,1942,12,28,m
20,46,1979-01-04,1979,1,4,m
21,12,1952-60-29,1952,10,29,f
22,1,1969-60-11,1969,10,11,f
23,1,1973-05-29,1973,5,29,m
24,43,1939-57-29,1939,7,29,f
25,21,1939-54-23,1939,4,23,f
26,74,1969-54-20,1969,4,20,f
27,54,1966-53-26,1966,3,26,f
28,1,1945-09-29,1945,9,29,m
29,30,1951-59-11,1951,9,11,f
30,74,1957-60-09,1957,10,9,f
31,68,1962-02-09,1962,2,9,m
32,52,1980-07-28,1980,7,28,m
33,73,1948-62-04,1948,12,4,f
36,7,1978-57-17,1978,7,17,f
37,7,1970-08-10,1970,8,10,m
38,36,1973-57-23,1973,7,23,f
39,68,1968-01-25,1968,1,25,m
40,5,1957-51-22,1957,1,22,f
41,22,1968-08-27,1968,8,27,m
42,68,1935-08-17,1935,8,17,m
43,75,1920-10-28,1920,10,28,m
44,38,1977-51-11,1977,1,11,f
45,20,1952-08-26,1952,8,26,m
46,19,1940-51-30,1940,1,30,f
47,76,1934-07-14,1934,7,14,m
48,16,1940-02-09,1940,2,9,m
49,72,1959-55-11,1959,5,11,f
50,39,1978-57-30,1978,7,30,f
51,36,1979-62-02,1979,12,2,f
52,32,1924-12-12,1924,12,12,m
53,64,1977-05-05,1977,5,5,m
55,45,1948-59-18,1948,9,18,f
56,21,1960-03-31,1960,3,31,m
57,21,1961-62-17,1961,12,17,f
58,1,1927-54-29,1927,4,29,f
59,1,1957-02-18,1957,2,18,m
60,67,1980-02-19,1980,2,19,m
61,16,1948-58-06,1948,8,6,f
62,77,1932-12-08,1932,12,8,m
63,4,1959-06-04,1959,6,4,m
64,20,1926-04-22,1926,4,22,m
65,50,1943-55-27,1943,5,27,f
66,1,1951-61-10,1951,11,10,f
67,29,1932-61-11,1932,11,11,f
68,43,1946-12-14,1946,12,14,m
70,70,1925-12-22,1925,12,22,m
71,70,1927-52-06,1927,2,6,f
72,47,1923-01-13,1923,1,13,m
73,22,1924-02-20,1924,2,20,m
74,22,1925-57-26,1925,7,26,f
75,64,1977-59-19,1977,9,19,f
76,36,1967-60-01,1967,10,1,f
77,1,1956-52-18,1956,2,18,f
78,16,1944-56-13,1944,6,13,f
79,37,1969-53-10,1969,3,10,f
80,64,1979-52-25,1979,2,25,f
81,8,1976-04-29,1976,4,29,m
82,8,1979-62-25,1979,12,25,f
83,1,1978-62-25,1978,12,25,f
84,1,1979-05-05,1979,5,5,m
85,1,1961-08-27,1961,8,27,m
86,1,1969-57-20,1969,7,20,f
87,72,1946-61-17,1946,11,17,f
89,1,1951-55-05,1951,5,5,f
90,52,1975-08-17,1975,8,17,m
91,63,1940-08-07,1940,8,7,m
92,74,1966-56-12,1966,6,12,f
93,3,1925-02-16,1925,2,16,m
94,43,1947-09-09,1947,9,9,m
95,43,1952-58-03,1952,8,3,f
96,74,1972-02-29,1972,2,29,m
97,26,1965-11-28,1965,11,28,m
98,33,1973-55-04,1973,5,4,f
99,33,1973-01-26,1973,1,26,m
100,44,1942-58-11,1942,8,11,f
101,68,1943-01-23,1943,1,23,m
102,74,1958-59-10,1958,9,10,f
103,74,1955-07-11,1955,7,11,m
105,31,1980-05-26,1980,5,26,m
106,68,1968-62-30,1968,12,30,f
107,1,1972-06-23,1972,6,23,m
108,17,1963-09-13,1963,9,13,m
110,2,1967-54-13,1967,4,13,f
112,1,1935-01-25,1935,1,25,m
113,1,1940-58-15,1940,8,15,f
114,74,1969-56-24,1969,6,24,f
115,74,1969-12-24,1969,12,24,m
116,74,1942-01-28,1942,1,28,m
117,74,1936-59-20,1936,9,20,f
118,55,1922-07-19,1922,7,19,m
119,55,1922-52-28,1922,2,28,f
120,1,1976-05-10,1976,5,10,m
121,41,1978-60-29,1978,10,29,f
122,35,1963-61-13,1963,11,13,f
123,11,1969-02-12,1969,2,12,m
124,44,1967-09-21,1967,9,21,m
125,37,1936-10-31,1936,10,31,m
126,37,1929-59-27,1929,9,27,f
127,21,1950-62-27,1950,12,27,f
128,63,1973-54-04,1973,4,4,f
129,64,1947-55-31,1947,5,31,f
130,53,1942-02-14,1942,2,14,m
131,53,1977-51-31,1977,1,31,f
132,36,1953-01-26,1953,1,26,m
134,6,1932-01-18,1932,1,18,m
135,6,1938-59-10,1938,9,10,f
136,55,1921-51-26,1921,1,26,f
137,60,1923-09-14,1923,9,14,m
138,54,1972-60-21,1972,10,21,f
139,8,1959-57-25,1959,7,25,f
140,8,1961-06-06,1961,6,6,m
141,31,1925-11-02,1925,11,2,m
142,68,1937-06-21,1937,6,21,m
143,27,1978-07-09,1978,7,9,m
144,65,1958-12-06,1958,12,6,m
145,55,1978-02-14,1978,2,14,m
146,31,1961-62-19,1961,12,19,f
147,21,1933-61-02,1933,11,2,f
148,21,1940-12-25,1940,12,25,m
149,55,1948-06-27,1948,6,27,m
150,2,1980-59-27,1980,9,27,f
151,51,1971-59-23,1971,9,23,f
152,29,1945-62-02,1945,12,2,f
153,13,1981-52-12,1981,2,12,f
154,74,1933-08-27,1933,8,27,m
155,74,1939-53-13,1939,3,13,f
156,54,1930-57-22,1930,7,22,f
157,52,1943-57-09,1943,7,9,f
158,40,1945-57-03,1945,7,3,f
159,40,1938-09-10,1938,9,10,m
160,64,1942-54-26,1942,4,26,f
161,34,1943-60-07,1943,10,7,f
162,65,1941-10-17,1941,10,17,m
163,74,1933-06-12,1933,6,12,m
164,70,1962-54-04,1962,4,4,f
165,22,1968-11-08,1968,11,8,m
166,22,1961-60-22,1961,10,22,f
167,38,1978-54-18,1978,4,18,f
168,24,1976-61-05,1976,11,5,f
169,38,1953-09-12,1953,9,12,m
170,38,1946-56-16,1946,6,16,f
171,51,1929-06-25,1929,6,25,m
172,51,1935-60-05,1935,10,5,f
173,21,1918-62-08,1918,12,8,f
174,10,1978-11-10,1978,11,10,m
175,31,1960-07-13,1960,7,13,m
176,4,1929-03-11,1929,3,11,m
178,8,1960-12-22,1960,12,22,m
179,43,1980-12-29,1980,12,29,m
180,73,1982-01-19,1982,1,19,m
181,76,1967-07-06,1967,7,6,m
182,76,1959-57-13,1959,7,13,f
183,1,1978-53-19,1978,3,19,f
184,1,1972-06-05,1972,6,5,m
185,77,1954-05-30,1954,5,30,m
186,46,1961-52-22,1961,2,22,f
187,58,1942-08-23,1942,8,23,m
188,64,1960-09-02,1960,9,2,m
189,11,1919-08-10,1919,8,10,m
190,37,1947-60-31,1947,10,31,f
191,37,1954-09-03,1954,9,3,m
192,70,1971-02-28,1971,2,28,m
193,1,1962-05-01,1962,5,1,m
194,28,1924-62-20,1924,12,20,f
195,74,1919-11-18,1919,11,18,m
196,74,1927-56-25,1927,6,25,f
197,30,1933-04-25,1933,4,25,m
198,60,1976-07-14,1976,7,14,m
199,29,1923-06-21,1923,6,21,m
200,29,1928-51-13,1928,1,13,f
201,17,1930-58-19,1930,8,19,f
202,29,1976-61-21,1976,11,21,f
