id,city,region,num_inhab,num_municip_inhab_0_499,num_municip_inhab_500_1999,num_municip_inhab_2000_9999,num_municip_inhab_10000_,num_cities,perc_urban_inhab,avg_salary,perc_unemploy_95,perc_unemploy_96,enterp_per_1000,num_crimes_95,num_crimes_96,region_zone
1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,NULL
2,Benesov,Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,central
3,Beroun,Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,central
4,Kladno,Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,central
5,Kolin,Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,central
6,Kutna Hora,Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,central
7,Melnik,Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,central
8,Mlada Boleslav,Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,central
9,Nymburk,Bohemia,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,central
10,Praha ,Bohemia,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,central
11,Praha ,Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,central
12,Pribram,Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,central
13,Rakovnik,Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,central
14,Ceske Budejovice,Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,south
15,Cesky Krumlov,Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,south
16,Jindrichuv Hradec,Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,south
17,Pelhrimov,Bohemia,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,south
18,Pisek,Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,south
19,Prachatice,Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,south
20,Strakonice,Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,south
21,Tabor,Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,south
22,Domazlice,Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,west
23,Cheb,Bohemia,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,west
24,Karlovy Vary,Bohemia,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,west
25,Klatovy,Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218,west
26,Plzen ,Bohemia,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,west
27,Plzen ,Bohemia,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,west
28,Plzen ,Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,west
29,Rokycany,Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,west
30,Sokolov,Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,west
31,Tachov,Bohemia,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,west
32,Ceska Lipa,Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,north
33,Decin,Bohemia,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,north
34,Chomutov,Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,north
35,Jablonec n. Nisou,Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620,north
36,Liberec,Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,north
37,Litomerice,Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,north
38,Louny,Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,north
39,Most,Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,north
40,Teplice,Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,north
41,Usti nad Labem,Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,north
