trans_id,account_id,type,operation,amount,balance,k_symbol,bank,account,trans_date,trans_year,trans_month,trans_day
6145,25,credit,cash,900.0,900.0,,,,1996-07-28,1996,7,28
6150,25,credit,cash,13067.0,29767.0,,,,1996-09-03,1996,9,3
6151,25,credit,cash,19946.0,86326.0,,,,1996-11-10,1996,11,10
6152,25,credit,cash,48955.0,103446.5,,,,1996-12-16,1996,12,16
6154,25,credit,cash,48119.0,113444.0,,,,1996-11-07,1996,11,7
6156,25,credit,cash,29361.0,68871.0,,,,1996-11-29,1996,11,29
6158,25,credit,cash,41759.0,113580.0,,,,1996-09-06,1996,9,6
6162,25,credit,cash,22573.0,80709.5,,,,1996-10-03,1996,10,3
6163,25,credit,cash,25125.0,77338.5,,,,1996-12-10,1996,12,10
6164,25,credit,cash,47179.0,115113.5,,,,1996-12-09,1996,12,9
6166,25,credit,cash,31101.0,109110.0,,,,1996-11-15,1996,11,15
6167,25,credit,cash,29145.0,116735.0,,,,1996-11-06,1996,11,6
6168,25,credit,cash,13794.0,91374.0,,,,1996-09-25,1996,9,25
6171,25,credit,cash,42054.0,71821.0,,,,1996-09-05,1996,9,5
6173,25,credit,cash,40895.0,87313.5,,,,1996-10-28,1996,10,28
6175,25,credit,cash,39433.0,111484.7,,,,1997-04-07,1997,4,7
6176,25,credit,cash,8802.0,61961.8,,,,1997-05-09,1997,5,9
6177,25,credit,cash,18951.0,54433.8,,,,1997-05-03,1997,5,3
6178,25,credit,cash,5271.0,71718.7,,,,1997-06-09,1997,6,9
6179,25,credit,cash,39485.0,82186.4,,,,1997-02-06,1997,2,6
6180,25,credit,cash,30931.0,88129.8,,,,1997-05-28,1997,5,28
6181,25,credit,cash,8094.0,64548.1,,,,1997-10-23,1997,10,23
6182,25,credit,cash,42433.0,86810.1,,,,1997-09-17,1997,9,17
6183,25,credit,cash,12761.0,55068.1,,,,1997-09-01,1997,9,1
6184,25,credit,cash,49734.0,73161.7,,,,1997-04-05,1997,4,5
6185,25,credit,cash,36216.0,119652.7,,,,1997-11-20,1997,11,20
6186,25,credit,cash,15549.0,44901.4,,,,1997-02-02,1997,2,2
6187,25,credit,cash,41021.0,92783.5,,,,1997-01-11,1997,1,11
6188,25,credit,cash,36054.0,98015.8,,,,1997-05-10,1997,5,10
6189,25,credit,cash,20895.0,51678.3,,,,1997-07-26,1997,7,26
6190,25,credit,cash,37842.0,72774.3,,,,1997-07-06,1997,7,6
6191,25,credit,cash,18292.0,71502.1,,,,1997-09-27,1997,9,27
6192,25,credit,cash,26124.0,87154.1,,,,1997-10-11,1997,10,11
6193,25,credit,cash,18228.0,66723.8,,,,1997-08-09,1997,8,9
6194,25,credit,cash,29180.0,91228.1,,,,1997-10-29,1997,10,29
6222,25,withdrawal,cash,2400.0,77199.5,,,0.0,1996-10-07,1996,10,7
6223,25,withdrawal,cash,1500.0,78009.0,,,0.0,1996-11-11,1996,11,11
6224,25,withdrawal,cash,1900.0,101546.5,,,0.0,1996-12-20,1996,12,20
6225,25,withdrawal,cash,2000.0,47915.5,,,0.0,1997-01-22,1997,1,22
6226,25,withdrawal,cash,2200.0,42701.4,,,0.0,1997-02-03,1997,2,3
6227,25,withdrawal,cash,3200.0,26207.5,,,0.0,1997-03-25,1997,3,25
