disp_id,client_id,account_id,type,district_id,sex,age,age_category,no. of inhabitants,ratio of urban inhabitants,average salary,crime_increase,unemployment_increase,crime_avg,unemployment_avg
1,1,1,OWNER,18,f,29,25-40,70699,65.30,8968,2.40,0.52,25.81,3.09
2,2,2,OWNER,1,m,54,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
3,3,2,DISPONENT,1,f,59,25-50,1204953,100.00,12541,11.15,0.14,76.68,0.36
4,4,3,OWNER,5,m,43,40-50,95616,51.40,9307,4.43,0.58,29.58,4.14
5,5,3,DISPONENT,5,f,39,25-40,95616,51.40,9307,4.43,0.58,29.58,4.14
6,6,4,OWNER,12,m,80,>65,107870,58.00,8754,0.59,0.48,35.56,4.07
7,7,5,OWNER,15,m,70,>65,58796,51.90,9045,0.58,0.47,31.67,3.37
8,8,6,OWNER,51,f,61,25-50,121947,70.50,8541,2.81,0.46,30.07,2.74
9,9,7,OWNER,60,m,64,25-50,110643,51.90,8441,3.37,1.03,18.67,3.97
10,10,8,OWNER,57,m,56,25-50,161954,48.00,8720,-0.48,0.77,22.78,4.12
11,11,8,DISPONENT,57,f,49,40-50,161954,48.00,8720,-0.48,0.77,22.78,4.12
12,12,9,OWNER,40,m,18,18-25,128118,85.30,9317,-0.60,0.58,53.94,6.78
13,13,10,OWNER,54,f,25,18-25,387570,100.00,9897,-0.06,0.36,48.27,1.78
14,14,11,OWNER,76,f,57,25-50,127369,51.20,8369,-7.29,1.15,25.69,5.30
15,15,12,OWNER,21,f,81,>65,103347,67.00,9104,0.53,0.56,22.51,1.79
16,16,12,DISPONENT,21,m,80,>65,103347,67.00,9104,0.53,0.56,22.51,1.79
17,17,13,OWNER,76,m,65,25-50,127369,51.20,8369,-7.29,1.15,25.69,5.30
18,18,13,DISPONENT,76,f,68,>65,127369,51.20,8369,-7.29,1.15,25.69,5.30
19,19,14,OWNER,47,m,57,25-50,162580,72.80,9538,-4.11,0.30,35.33,1.66
20,20,15,OWNER,46,m,20,18-25,112709,73.50,8369,-2.09,0.52,24.27,2.05
21,21,16,OWNER,12,f,47,40-50,107870,58.00,8754,0.59,0.48,35.56,4.07
22,22,17,OWNER,1,f,30,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
23,23,17,DISPONENT,1,m,26,25-40,1204953,100.00,12541,11.15,0.14,76.68,0.36
24,24,18,OWNER,43,f,60,25-50,161854,76.30,9425,-1.20,0.78,24.64,2.11
25,25,19,OWNER,21,f,60,25-50,103347,67.00,9104,0.53,0.56,22.51,1.79
